Tags_Id,Tags
1,AI & Big Data
2,Alameda Research Portfolio
3,Algorithmic Stablecoin
4,Alleged SEC Securities
5,Aptos Ecosystem
6,Arbitrum Ecosystem
7,Arrington XRP Capital Portfolio
8,Art
9,Asset-Backed Stablecoin
10,Avalanche Ecosystem
11,BLAKE256
12,BNB Chain
13,BNB Smart Chain
14,Binance Chain
15,Binance Labs Portfolio
16,Binance Launchpad
17,Binance Launchpool
18,Bitcoin Ecosystem
19,Blake2S
20,Blake2b
21,CMS Holdings Portfolio
22,Cardano Ecosystem
23,Centralized Exchange (CEX) Token
24,Circle Ventures Portfolio
25,Coinbase Ventures Portfolio
26,Coinfund Portfolio
27,Collectibles & NFTs
28,Communications & Social Media
29,Content Creation
30,Cosmos Ecosystem
31,DAG
32,DAO
33,DApp
34,DCG Portfolio
35,DEX
36,DPoS
37,DWF Labs Portfolio
38,Data Provenance
39,DeFi
40,Decentralized Exchange (DEX) Token
41,Derivatives
42,Discount Token
43,Distributed Computing
44,Doggone Doggerel
45,Electric Capital Portfolio
46,Enterprise Solutions
47,Entertainment
48,Equihash
49,Ethash
50,Ethereum Ecosystem
51,Everscale Ecosystem
52,Exnetwork Capital Portfolio
53,Filesharing
54,Gaming
55,Governance
56,Hardware
57,Hashkey Capital Portfolio
58,Huobi Capital Portfolio
59,Hybrid - PoW & PoS
60,Identity
61,Injective Ecosystem
62,Interoperability
63,IoT
64,Kenetic Capital Portfolio
65,LPoS
66,Launchpad
67,Layer 1
68,Layer 2
69,Liquid Staking Derivatives
70,Logistics
71,MVB
72,Marketing
73,Marketplace
74,Media
75,Medium of Exchange
76,Memes
77,Metaverse
78,Mineable
79,Mobile
80,Multicoin Capital Portfolio
81,Multiple algorithms
82,Music
83,OKEx Blockdream Ventures Portfolio
84,Optimism Ecosystem
85,Oracles
86,Pantera Capital Portfolio
87,Payments
88,Platform
89,PoI
90,PoS
91,PoW
92,Polkadot
93,Polkadot Ecosystem
94,Polygon Ecosystem
95,Privacy
96,Real World Assets
97,Research
98,SEC Security Token
99,SHA-256
100,Scaling
101,Scrypt
102,Seigniorage
103,Services
104,Smart Contracts
105,Solana Ecosystem
106,Spartan Group
107,Sports
108,Stablecoin
109,Staking
110,Storage
111,Store Of Value
112,Substrate
113,TRON Ecosystem
114,Telegram Bot
115,Three Arrows Capital Portfolio
116,Tokenized Gold
117,Toncoin Ecosystem
118,VR/AR
119,Wallet
120,Web3
121,Wrapped Tokens
122,X11
123,XDC Ecosystem
124,Yield Aggregator
125,Yield Farming
126,Zero Knowledge Proofs
