,Language_Id,Language
0,1,    Contributors
1,2,Assembly
2,3,C
3,4,C#
4,5,C++
5,6,CMake
6,7,Dockerfile
7,8,Erlang
8,9,Go
9,10,HTML
10,11,Handlebars
11,12,Haskell
12,13,Java
13,14,JavaScript
14,15,Jsonnet
15,16,M4
16,17,Makefile
17,18,Nix
18,19,OCaml
19,20,Other
20,21,PEG.js
21,22,PLpgSQL
22,23,Pact
23,24,Python
24,25,Reason
25,26,Rich Text Format
26,27,Ruby
27,28,Rust
28,29,SCSS
29,30,Sage
30,31,Shell
31,32,Smarty
32,33,Solidity
33,34,Standard ML
34,35,Starlark
35,36,TypeScript
36,37,Vue
37,38,WebAssembly
38,39,tworec
