Tag_Id,Tag
1,1Confirmation Portfolio
2,AI & Big Data
3,AMM
4,Alameda Research Portfolio
5,Algorand Ecosystem
6,Algorithmic Stablecoin
7,Alleged SEC Securities
8,Analytics
9,Animoca Brands Portfolio
10,Aptos Ecosystem
11,Arbitrum Ecosystem
12,Arrington XRP Capital Portfolio
13,Art
14,Asset-Backed Stablecoin
15,Avalanche Ecosystem
16,BLAKE256
17,BNB Chain
18,BNB Smart Chain
19,Base Ecosystem
20,Binance Chain
21,Binance Labs Portfolio
22,Binance Launchpad
23,Binance Launchpool
24,Bitcoin Ecosystem
25,Blake2S
26,Blake2b
27,Blockchain Capital Portfolio
28,BoostVC Portfolio
29,CMS Holdings Portfolio
30,Cardano
31,Cardano Ecosystem
32,Celo Ecosystem
33,Celsius Bankruptcy Estate
34,Centralized Exchange (CEX) Token
35,Circle Ventures Portfolio
36,Coinbase Ventures Portfolio
37,Coinfund Portfolio
38,Collectibles & NFTs
39,Communications & Social Media
40,Content Creation
41,Cosmos
42,Cosmos Ecosystem
43,Cross-Chain
44,Cross-Chain DEX Aggregator
45,Crowdfunding
46,DAG
47,DAO
48,DAO Maker
49,DApp
50,DCG Portfolio
51,DEX
52,DPoS
53,DWF Labs Portfolio
54,Data Provenance
55,DeFi
56,DeFiance Capital Portfolio
57,Decentralized Exchange (DEX) Token
58,Derivatives
59,Discount Token
60,Distributed Computing
61,Doggone Doggerel
62,DragonFly Capital Portfolio
63,EOS
64,Electric Capital Portfolio
65,Elrond Ecosystem
66,Enterprise Solutions
67,Entertainment
68,Equihash
69,Ethash
70,Ethereum Ecosystem
71,Everscale Ecosystem
72,Exnetwork Capital Portfolio
73,FTX Bankruptcy Estate 
74,Fabric Ventures Portfolio
75,Fantom Ecosystem
76,Fenbushi Capital Portfolio
77,Filecoin Ecosystem
78,Filesharing
79,Framework Ventures Portfolio
80,Galaxy Digital Portfolio
81,Gaming
82,Gaming Guild
83,Governance
84,Hardware
85,Harmony Ecosystem
86,Hashkey Capital Portfolio
87,Hedera Hashgraph Ecosystem
88,Huobi Capital Portfolio
89,Hybrid - PoW & DPoS
90,Hybrid - PoW & PoS
91,Identity
92,Injective Ecosystem
93,Internet Computer Ecosystem
94,Interoperability
95,IoT
96,IoTeX Ecosystem
97,Jump Crypto
98,Kadena Ecosystem
99,Kenetic Capital Portfolio
100,LPoS
101,Launchpad
102,Layer 1
103,Layer 2
104,LedgerPrime Portfolio
105,Lending & Borrowing
106,Linea Ecosystem
107,Liquid Staking Derivatives
108,Logistics
109,MVB
110,Marketing
111,Marketplace
112,Masternodes
113,Media
114,Medium of Exchange
115,Memes
116,Metaverse
117,Mineable
118,Mobile
119,Moonriver Ecosystem
120,Move To Earn
121,Multicoin Capital Portfolio
122,Multiple algorithms
123,Music
124,Near Protocol Ecosystem
125,OKEx Blockdream Ventures Portfolio
126,Olympus Pro Ecosystem
127,Optimism Ecosystem
128,Oracles
129,Pantera Capital Portfolio
130,ParaFi Capital
131,Paradigm Portfolio
132,Payments
133,Placeholder Ventures Portfolio
134,Platform
135,Play To Earn
136,PoI
137,PoS
138,PoW
139,Polkadot
140,Polkadot Ecosystem
141,Polychain Capital Portfolio
142,Polygon Ecosystem
143,Prediction Markets
144,Privacy
145,Real World Assets
146,Red Packets 
147,Research
148,RingCT
149,Rollups
150,SEC Security Token
151,SEI Ecosystem
152,SHA-256
153,Scaling
154,Scrypt
155,Seigniorage
156,Services
157,Sharing Economy
158,Sidechain
159,Smart Contracts
160,Solana Ecosystem
161,Spartan Group
162,Sports
163,Stablecoin
164,Staking
165,State Channel
166,Storage
167,Store Of Value
168,Substrate
169,Synthetics
170,TRON Ecosystem
171,Telegram Bot
172,Terra Ecosystem
173,Three Arrows Capital Portfolio
174,Token
175,Tokenized Gold
176,Toncoin Ecosystem
177,USD Stablecoin
178,USV Portfolio
179,VBC Ventures Portfolio
180,VR/AR
181,Video
182,Wallet
183,Web3
184,Winklevoss Capital Portfolio
185,Wrapped Tokens
186,X11
187,XDC Ecosystem
188,Yearn Partnerships
189,Yield Aggregator
190,Yield Farming
191,Zero Knowledge Proofs
192,Zilliqa Ecosystem
193,a16z Portfolio
